flight_number,operator_icao,departure_city,departure_iata,departure_icao,arrival_city,arrival_iata,arrival_icao,aircraft_type,aircraft_icao,dep_local,arr_local,dep_utc,arr_utc,duration_minutes,distance_nm,days_operated,time_variants,updated
U2856,EZY,Aberdeen,ABZ,EGPD,London Gatwick,LGW,EGKK,,,06:05,07:50,05:05,06:50,105,370,1234567,3,2026-09-24T08:57:48.000Z
U24636,EJU,Aberdeen,ABZ,EGPD,Paris Charles de Gaulle,CDG,LFPG,,,07:55,10:50,06:55,08:50,115,521,1457,4,2026-09-24T08:57:40.000Z
U2616,EZY,Aberdeen,ABZ,EGPD,London Luton,LTN,EGGW,,,09:05,10:30,08:05,09:30,85,326,13457,4,2026-09-24T08:57:40.000Z
U2858,EZY,Aberdeen,ABZ,EGPD,London Gatwick,LGW,EGKK,,,15:35,17:20,14:35,16:20,105,370,1234567,2,2026-09-24T08:57:40.000Z
U21050,EZS,Lanzarote,ACE,GCRR,Basel,BSL,LFSB,,,10:05,15:05,09:05,13:05,240,1489,7,1,2026-08-30T10:59:10.000Z
U24776,EJU,Lanzarote,ACE,GCRR,Nantes,NTE,LFRS,,,10:15,14:40,09:15,12:40,205,1228,12467,5,2026-09-24T08:57:48.000Z
U23766,EJU,Lanzarote,ACE,GCRR,Milan Malpensa,MXP,LIMC,,,11:05,15:55,10:05,13:55,230,1454,4,1,2026-08-27T15:00:52.000Z
U28122,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,11:15,15:20,10:15,14:20,245,1464,123457,6,2026-09-24T08:57:48.000Z
U22030,EZY,Lanzarote,ACE,GCRR,Manchester,MAN,EGCC,,,11:25,15:40,10:25,14:40,255,1548,23467,5,2026-09-24T00:59:24.000Z
U21866,EJU,Lanzarote,ACE,GCRR,Bordeaux,BOD,LFBD,,,13:40,17:50,12:40,15:50,190,1134,2,1,2026-09-22T16:59:22.000Z
U23760,EJU,Lanzarote,ACE,GCRR,Milan Malpensa,MXP,LIMC,,,15:15,20:05,14:15,18:05,230,1454,1236,4,2026-09-23T19:59:18.000Z
U24514,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,,,16:00,20:55,15:00,18:55,235,1415,5,1,2026-09-04T19:59:06.000Z
U21366,EZS,Lanzarote,ACE,GCRR,Geneva,GVA,LSGG,,,17:20,22:10,16:20,20:10,230,1391,36,2,2026-09-23T21:59:38.000Z
U28124,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,17:30,21:30,16:30,20:30,240,1464,12346,5,2026-09-24T08:57:48.000Z
U21086,EZS,Lanzarote,ACE,GCRR,Basel,BSL,LFSB,,,17:55,22:55,16:55,20:55,240,1489,346,3,2026-09-23T19:00:09.000Z
U21860,EJU,Lanzarote,ACE,GCRR,Bordeaux,BOD,LFBD,,,18:15,22:25,17:15,20:25,190,1134,26,2,2026-09-19T21:59:50.000Z
U24578,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,320,A320,18:20,23:15,17:20,21:15,235,1415,1346,4,2026-09-23T22:59:16.000Z
U22734,EZY,Lanzarote,ACE,GCRR,Bristol,BRS,EGGD,,,18:25,22:15,17:25,21:15,230,1433,23467,5,2026-09-24T08:57:48.000Z
U26646,EZY,Lanzarote,ACE,GCRR,Birmingham,BHX,EGBB,,,18:35,22:45,17:35,21:45,250,1507,26,2,2026-09-22T23:00:48.000Z
U22302,EZY,Lanzarote,ACE,GCRR,London Luton,LTN,EGGW,,,18:45,22:50,17:45,21:50,245,1498,2457,4,2026-09-24T08:57:48.000Z
U24378,EJU,Lanzarote,ACE,GCRR,Lyon,LYS,LFLL,,,18:50,23:20,17:50,21:20,210,1339,23467,5,2026-09-22T23:00:53.000Z
U24580,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,,,19:05,23:55,18:05,21:55,230,1415,3,1,2026-08-26T22:59:37.000Z
U28126,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,19:15,23:15,18:15,22:15,240,1464,23567,5,2026-09-23T23:59:05.000Z
U23204,EZY,Lanzarote,ACE,GCRR,Edinburgh,EDI,EGPH,,,19:30,23:55,18:30,22:55,265,1679,247,3,2026-09-24T08:57:48.000Z
U23020,EZY,Lanzarote,ACE,GCRR,Belfast Intl,BFS,EGAA,,,19:55,00:20,18:55,23:20,265,1577,15,2,2026-09-22T01:01:50.000Z
U23112,EZY,Lanzarote,ACE,GCRR,Glasgow,GLA,EGPF,,,20:20,00:40,19:20,23:40,260,1664,14,2,2026-09-22T00:59:00.000Z
U22048,EZY,Lanzarote,ACE,GCRR,Manchester,MAN,EGCC,,,21:20,01:35,20:20,00:35,255,1548,1,1,2026-09-22T02:59:15.000Z
U23364,EZY,Lanzarote,ACE,GCRR,Liverpool,LPL,EGGP,,,21:40,01:45,20:40,00:45,245,1539,36,2,2026-09-24T01:59:59.000Z
U28128,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,22:50,02:45,21:50,01:45,235,1464,14,2,2026-09-22T02:59:14.000Z
U22562,EZY,Izmir,ADB,LTBJ,London Luton,LTN,EGGW,,,13:55,16:05,10:55,15:05,250,1410,36,2,2026-09-23T17:00:57.000Z
U28572,EZY,Izmir,ADB,LTBJ,London Gatwick,LGW,EGKK,,,20:45,22:55,17:45,21:55,250,1386,26,2,2026-09-23T00:00:10.000Z
U24484,EJU,Agadir,AGA,GMAD,Lyon,LYS,LFLL,,,08:10,13:30,08:10,11:30,200,1148,2457,3,2026-09-24T08:57:40.000Z
U21790,EJU,Agadir,AGA,GMAD,Nice,NCE,LFMN,,,09:10,14:15,09:10,12:15,185,1126,26,1,2026-09-22T13:58:28.000Z
U24684,EJU,Agadir,AGA,GMAD,Paris Charles de Gaulle,CDG,LFPG,,,09:15,13:50,08:15,11:50,215,1247,2467,3,2026-09-24T08:57:40.000Z
U22622,EZY,Agadir,AGA,GMAD,London Luton,LTN,EGGW,,,09:50,14:40,09:50,13:40,230,1355,2357,4,2026-09-23T14:59:37.000Z
U21252,EZS,Agadir,AGA,GMAD,Basel,BSL,LFSB,,,10:00,15:35,10:00,13:35,215,1298,236,3,2026-09-23T12:01:40.000Z
U28704,EZY,Agadir,AGA,GMAD,London Gatwick,LGW,EGKK,,,10:20,15:10,10:20,14:10,230,1317,23467,5,2026-09-24T08:57:40.000Z
U21556,EZS,Agadir,AGA,GMAD,Geneva,GVA,LSGG,,,17:25,22:45,17:25,20:45,200,1199,26,2,2026-09-22T23:00:47.000Z
U25378,EJU,Agadir,AGA,GMAD,Berlin Brandenburg,BER,EDDB,,,17:40,22:55,16:40,20:55,255,1664,6,1,2026-09-19T23:00:14.000Z
U28718,EZY,Agadir,AGA,GMAD,London Gatwick,LGW,EGKK,,,18:10,22:55,18:10,21:55,225,1317,1,1,2026-09-21T22:59:34.000Z
U22754,EZY,Agadir,AGA,GMAD,Bristol,BRS,EGGD,,,18:55,23:30,18:55,22:30,215,1299,37,2,2026-09-24T00:01:27.000Z
U23328,EZY,Agadir,AGA,GMAD,Edinburgh,EDI,EGPH,,,20:35,01:50,20:35,00:50,255,1560,36,2,2026-09-24T01:59:55.000Z
U22286,EZY,Agadir,AGA,GMAD,Manchester,MAN,EGCC,,,21:25,02:15,21:25,01:15,230,1417,136,3,2026-09-24T02:59:02.000Z
U28804,EZY,Agadir,AGA,GMAD,London Gatwick,LGW,EGKK,,,22:55,02:45,21:55,01:45,230,1317,5,1,2026-09-19T02:58:51.000Z
U22348,EZY,Malaga,AGP,LEMG,London Luton,LTN,EGGW,,,00:10,01:55,22:10,00:55,165,929,357,2,2026-09-23T02:00:47.000Z
U23794,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,00:20,02:50,22:20,00:50,150,802,1,1,2026-08-31T03:02:14.000Z
U27069,EJU,Malaga,AGP,LEMG,Amsterdam,AMS,EHAM,,,06:00,09:05,04:00,07:05,185,1017,7,1,2026-09-20T08:59:46.000Z
U27023,EJU,Malaga,AGP,LEMG,Geneva,GVA,LSGG,,,06:00,08:30,04:00,06:30,150,745,1234567,2,2026-09-24T07:59:30.000Z
U28078,EJU,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,06:10,08:00,04:10,07:00,170,888,123457,2,2026-09-24T08:57:48.000Z
U27007,EJU,Malaga,AGP,LEMG,London Southend,SEN,EGMC,,,06:10,08:00,04:10,07:00,170,921,6,1,2026-09-19T08:59:11.000Z
U27029,EJU,Malaga,AGP,LEMG,Birmingham,BHX,EGBB,,,06:30,08:30,04:30,07:30,180,954,3,1,2026-09-23T09:00:37.000Z
U27001,EJU,Malaga,AGP,LEMG,Manchester,MAN,EGCC,,,06:45,08:50,04:45,07:50,185,1005,1234567,5,2026-09-24T08:57:49.000Z
U27005,EJU,Malaga,AGP,LEMG,Bristol,BRS,EGGD,,,07:00,08:45,05:00,07:45,165,886,4,1,2026-09-24T08:57:44.000Z
U27021,EJU,Malaga,AGP,LEMG,Basel,BSL,LFSB,,,07:00,09:40,05:00,07:40,160,845,24567,4,2026-09-24T08:57:48.000Z
U27037,EJU,Malaga,AGP,LEMG,Zurich,ZRH,LSZH,,,07:00,09:35,05:00,07:35,155,868,1357,3,2026-09-21T08:59:51.000Z
U27061,EJU,Malaga,AGP,LEMG,Athens,ATH,LGAV,,,07:10,11:50,05:10,08:50,220,1355,26,2,2026-09-15T10:01:32.000Z
U27081,EJU,Malaga,AGP,LEMG,Berlin Brandenburg,BER,EDDB,,,07:10,10:35,05:10,08:35,205,1210,26,2,2026-09-22T10:01:15.000Z
U21318,EJU,Malaga,AGP,LEMG,Geneva,GVA,LSGG,,,09:15,11:45,07:15,09:45,150,745,3,1,2026-09-23T11:01:15.000Z
U23744,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,10:10,12:45,08:10,10:45,155,802,1234567,5,2026-09-24T08:57:48.000Z
U25106,EJU,Malaga,AGP,LEMG,Berlin Brandenburg,BER,EDDB,,,10:15,13:40,08:15,11:40,205,1210,123457,5,2026-09-24T08:57:48.000Z
U28068,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,10:25,12:20,08:25,11:20,175,888,1234567,3,2026-09-24T08:57:48.000Z
U22716,EZY,Malaga,AGP,LEMG,Bristol,BRS,EGGD,,,10:30,12:15,08:30,11:15,165,886,1234567,2,2026-09-24T08:57:44.000Z
U23014,EZY,Malaga,AGP,LEMG,Belfast Intl,BFS,EGAA,,,10:50,13:05,08:50,12:05,195,1082,1234567,3,2026-09-24T08:57:44.000Z
U23368,EZY,Malaga,AGP,LEMG,Liverpool,LPL,EGGP,,,10:50,12:50,08:50,11:50,180,1003,1234567,2,2026-09-24T08:57:48.000Z
U27890,EJU,Malaga,AGP,LEMG,Amsterdam,AMS,EHAM,,,11:05,14:10,09:05,12:10,185,1017,1234567,4,2026-09-24T08:57:42.000Z
U25702,EZY,Malaga,AGP,LEMG,London Southend,SEN,EGMC,,,11:10,13:00,09:10,12:00,170,921,123457,5,2026-09-24T08:57:48.000Z
U22336,EZY,Malaga,AGP,LEMG,London Luton,LTN,EGGW,,,11:20,13:20,09:20,12:20,180,929,1234567,7,2026-09-24T08:57:48.000Z
U23104,EZY,Malaga,AGP,LEMG,Glasgow,GLA,EGPF,,,11:40,14:05,09:40,13:05,205,1153,467,2,2026-09-24T08:57:46.000Z
U28070,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,12:00,13:50,10:00,12:50,170,888,25,2,2026-09-18T13:58:57.000Z
U26628,EZY,Malaga,AGP,LEMG,Birmingham,BHX,EGBB,,,12:15,14:15,10:15,13:15,180,954,1247,4,2026-09-24T08:57:44.000Z
U27025,EJU,Malaga,AGP,LEMG,Geneva,GVA,LSGG,,,12:35,15:05,10:35,13:05,150,745,123456,5,2026-09-24T08:57:41.000Z
U22008,EZY,Malaga,AGP,LEMG,Manchester,MAN,EGCC,32N,A20N,12:40,14:45,10:40,13:45,185,1005,26,2,2026-09-22T16:00:08.000Z
U23106,EZY,Malaga,AGP,LEMG,Glasgow,GLA,EGPF,,,12:45,15:10,10:45,14:10,205,1153,1235,4,2026-09-23T16:00:47.000Z
U27003,EJU,Malaga,AGP,LEMG,Bristol,BRS,EGGD,,,13:35,15:25,11:35,14:25,170,886,1234567,5,2026-09-24T08:57:44.000Z
U28080,EJU,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,13:55,15:55,11:55,14:55,180,888,1234567,3,2026-09-24T08:57:48.000Z
U27015,EJU,Malaga,AGP,LEMG,Leeds Bradford,LBA,EGNM,,,14:00,16:00,12:00,15:00,180,1039,37,2,2026-09-23T17:00:57.000Z
U27049,EJU,Malaga,AGP,LEMG,Nantes,NTE,LFRS,,,14:25,16:30,12:25,14:30,125,642,15,1,2026-09-21T15:58:59.000Z
U27878,EJU,Malaga,AGP,LEMG,Amsterdam,AMS,EHAM,,,14:30,17:30,12:30,15:30,180,1017,136,3,2026-09-23T17:00:52.000Z
U28138,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,16:15,18:10,14:15,17:10,175,888,2456,4,2026-09-24T08:57:48.000Z
U21308,EJU,Malaga,AGP,LEMG,Geneva,GVA,LSGG,,,16:40,19:10,14:40,17:10,150,745,37,2,2026-09-20T18:59:04.000Z
U23374,EZY,Malaga,AGP,LEMG,Liverpool,LPL,EGGP,,,18:05,20:00,16:05,19:00,175,1003,3,1,2026-08-26T20:59:14.000Z
U27031,EJU,Malaga,AGP,LEMG,Edinburgh,EDI,EGPH,,,18:50,21:10,16:50,20:10,200,1158,14,1,2026-09-24T08:57:48.000Z
U27047,EJU,Malaga,AGP,LEMG,Lyon,LYS,LFLL,,,19:00,21:15,17:00,19:15,135,694,26,2,2026-09-22T20:59:12.000Z
U27053,EJU,Malaga,AGP,LEMG,Nice,NCE,LFMN,,,19:00,21:10,17:00,19:10,130,681,37,2,2026-09-23T20:59:00.000Z
U27894,EJU,Malaga,AGP,LEMG,Amsterdam,AMS,EHAM,,,19:10,22:10,17:10,20:10,180,1017,1234567,5,2026-09-24T08:57:48.000Z
U28072,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,19:40,21:35,17:40,20:35,175,888,1347,4,2026-09-23T22:59:15.000Z
U22338,EZY,Malaga,AGP,LEMG,London Luton,LTN,EGGW,,,19:50,21:45,17:50,20:45,175,929,1234567,6,2026-09-23T22:59:15.000Z
U25602,EZY,Malaga,AGP,LEMG,Newcastle,NCL,EGNT,,,19:55,22:05,17:55,21:05,190,1109,1245,4,2026-09-24T08:57:48.000Z
U21008,EJU,Malaga,AGP,LEMG,Basel,BSL,LFSB,,,20:25,23:00,18:25,21:00,155,845,1235,3,2026-09-23T10:58:55.000Z
U28074,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,20:40,22:40,18:40,21:40,180,888,134567,5,2026-09-24T08:57:48.000Z
U22004,EZY,Malaga,AGP,LEMG,Manchester,MAN,EGCC,,,20:50,22:55,18:50,21:55,185,1005,246,3,2026-09-23T00:00:11.000Z
U27041,EJU,Malaga,AGP,LEMG,Marrakech,RAK,GMMX,,,21:15,20:55,19:15,20:55,100,351,1357,4,2026-09-23T21:59:43.000Z
U23746,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,21:20,23:50,19:20,21:50,150,802,123457,6,2026-09-23T22:59:16.000Z
U23770,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,21:20,23:50,19:20,21:50,150,802,25,2,2026-09-18T22:59:20.000Z
U23016,EZY,Malaga,AGP,LEMG,Belfast Intl,BFS,EGAA,,,21:35,23:50,19:35,22:50,195,1082,123456,5,2026-09-24T08:57:48.000Z
U23786,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,21:55,00:25,19:55,22:25,150,802,3,1,2026-08-27T00:59:06.000Z
U23370,EZY,Malaga,AGP,LEMG,Liverpool,LPL,EGGP,,,22:05,00:05,20:05,23:05,180,1003,2346,4,2026-09-24T00:59:24.000Z
U22718,EZY,Malaga,AGP,LEMG,Bristol,BRS,EGGD,,,22:10,23:50,20:10,22:50,160,886,2356,4,2026-09-23T00:00:07.000Z
U23382,EZY,Malaga,AGP,LEMG,Liverpool,LPL,EGGP,,,22:35,00:35,20:35,23:35,180,1003,7,1,2026-09-21T00:58:46.000Z
U23772,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,22:45,01:15,20:45,23:15,150,802,367,3,2026-09-21T01:59:25.000Z
U23726,EJU,Malaga,AGP,LEMG,Milan Malpensa,MXP,LIMC,,,23:25,01:55,21:25,23:55,150,802,6,1,2026-09-20T01:58:57.000Z
U23038,EZY,Malaga,AGP,LEMG,Belfast Intl,BFS,EGAA,,,23:35,01:50,21:35,00:50,195,1082,2,1,2026-08-26T03:00:44.000Z
U22340,EZY,Malaga,AGP,LEMG,London Luton,LTN,EGGW,,,23:45,01:30,21:45,00:30,165,929,1357,2,2026-09-24T01:59:59.000Z
U28076,EZY,Malaga,AGP,LEMG,London Gatwick,LGW,EGKK,,,23:50,01:35,21:50,00:35,165,888,267,3,2026-09-23T02:00:47.000Z
U24334,EJU,"Ajaccio, Corsica",AJA,LFKJ,Lyon,LYS,LFLL,,,08:40,09:50,06:40,07:50,70,279,1357,3,2026-09-21T19:59:40.000Z
U24506,EJU,"Ajaccio, Corsica",AJA,LFKJ,Paris Charles de Gaulle,CDG,LFPG,,,09:20,11:10,07:20,09:10,110,500,23467,4,2026-09-23T16:00:50.000Z
U24508,EJU,"Ajaccio, Corsica",AJA,LFKJ,Paris Charles de Gaulle,CDG,LFPG,,,14:55,16:45,12:55,14:45,110,500,157,3,2026-09-18T15:59:46.000Z
U21358,EZS,"Ajaccio, Corsica",AJA,LFKJ,Geneva,GVA,LSGG,,,15:50,17:05,13:50,15:05,75,284,1267,4,2026-09-22T16:59:22.000Z
U21360,EZS,"Ajaccio, Corsica",AJA,LFKJ,Geneva,GVA,LSGG,,,17:05,18:20,15:05,16:20,75,284,346,3,2026-09-24T08:57:40.000Z
U24768,EJU,"Ajaccio, Corsica",AJA,LFKJ,Nantes,NTE,LFRS,,,17:25,19:15,15:25,17:15,110,544,1234567,7,2026-09-20T18:59:10.000Z
U24332,EJU,"Ajaccio, Corsica",AJA,LFKJ,Lyon,LYS,LFLL,,,17:40,18:50,15:40,16:50,70,279,5,1,2026-08-28T19:57:31.000Z
U21064,EZS,"Ajaccio, Corsica",AJA,LFKJ,Basel,BSL,LFSB,,,17:50,19:10,15:50,17:10,80,345,13567,5,2026-09-23T17:00:52.000Z
U22744,EZY,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,00:05,01:35,22:05,00:35,150,792,1,1,2026-09-21T01:59:19.000Z
U22316,EZY,Alicante,ALC,LEAL,London Luton,LTN,EGGW,,,00:15,01:45,22:15,00:45,150,816,246,3,2026-09-24T01:59:59.000Z
U22318,EZY,Alicante,ALC,LEAL,London Luton,LTN,EGGW,,,00:40,02:10,22:40,01:10,150,816,12467,4,2026-09-23T02:00:47.000Z
U25519,EJU,Alicante,ALC,LEAL,London Southend,SEN,EGMC,,,05:45,07:20,03:45,06:20,155,800,15,2,2026-09-21T08:01:00.000Z
U25551,EJU,Alicante,ALC,LEAL,Prague,PRG,LKPR,,,06:05,08:55,04:05,06:55,170,951,36,2,2026-09-23T09:00:43.000Z
U25559,EJU,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,06:30,08:25,04:30,07:25,175,907,1,1,2026-09-21T08:59:48.000Z
U25545,EJU,Alicante,ALC,LEAL,Athens,ATH,LGAV,,,06:40,10:55,04:40,07:55,195,1154,14,2,2026-09-24T08:57:41.000Z
U25527,EJU,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,07:00,08:35,05:00,07:35,155,792,123456,2,2026-09-24T08:57:44.000Z
U25501,EJU,Alicante,ALC,LEAL,Basel,BSL,LFSB,,,07:00,09:15,05:00,07:15,135,662,234567,5,2026-09-24T07:01:42.000Z
U25503,EJU,Alicante,ALC,LEAL,Geneva,GVA,LSGG,,,07:15,09:20,05:15,07:20,125,562,234567,4,2026-09-23T14:59:28.000Z
U21298,EJU,Alicante,ALC,LEAL,Geneva,GVA,LSGG,,,08:35,10:40,06:35,08:40,125,562,12346,4,2026-09-24T08:57:40.000Z
U28108,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,09:55,11:35,07:55,10:35,160,773,124567,3,2026-09-24T08:57:40.000Z
U22314,EZY,Alicante,ALC,LEAL,London Luton,LTN,EGGW,,,10:20,12:00,08:20,11:00,160,816,1234567,3,2026-09-24T08:57:40.000Z
U26604,EZY,Alicante,ALC,LEAL,Birmingham,BHX,EGBB,,,10:25,12:10,08:25,11:10,165,852,2346,3,2026-09-24T08:57:40.000Z
U22724,EZY,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,10:30,12:05,08:30,11:05,155,792,12457,5,2026-09-24T08:57:40.000Z
U28114,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,10:40,12:20,08:40,11:20,160,773,267,2,2026-09-22T12:58:53.000Z
U22722,EZY,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,11:05,12:40,09:05,11:40,155,792,34567,4,2026-09-23T14:01:11.000Z
U23206,EZY,Alicante,ALC,LEAL,Edinburgh,EDI,EGPH,,,11:05,13:20,09:05,12:20,195,1067,1346,3,2026-09-23T14:01:14.000Z
U23358,EZY,Alicante,ALC,LEAL,Liverpool,LPL,EGGP,,,11:20,13:10,09:20,12:10,170,909,13457,4,2026-09-24T08:57:40.000Z
U25706,EZY,Alicante,ALC,LEAL,London Southend,SEN,EGMC,,,11:20,12:55,09:20,11:55,155,800,347,3,2026-09-23T13:59:04.000Z
U22014,EZY,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,11:45,13:40,09:45,12:40,175,907,1234567,5,2026-09-24T08:57:40.000Z
U23022,EZY,Alicante,ALC,LEAL,Belfast Intl,BFS,EGAA,,,12:15,14:20,10:15,13:20,185,1010,124,3,2026-09-24T08:57:40.000Z
U25548,EJU,Alicante,ALC,LEAL,Liverpool,LPL,EGGP,,,12:25,14:15,10:25,13:15,170,909,1,1,2026-09-21T15:00:21.000Z
U25604,EZY,Alicante,ALC,LEAL,Newcastle,NCL,EGNT,,,12:30,14:30,10:30,13:30,180,1007,457,3,2026-09-24T08:57:40.000Z
U25513,EJU,Alicante,ALC,LEAL,Nantes,NTE,LFRS,,,13:05,15:00,11:05,13:00,115,535,14,2,2026-09-24T08:57:40.000Z
U25515,EJU,Alicante,ALC,LEAL,Southampton,SOU,EGHI,,,13:30,14:55,11:30,13:55,145,761,47,2,2026-09-24T08:57:40.000Z
U23380,EZY,Alicante,ALC,LEAL,Liverpool,LPL,EGGP,,,15:00,16:50,13:00,15:50,170,909,27,2,2026-09-22T18:02:42.000Z
U25509,EJU,Alicante,ALC,LEAL,Glasgow,GLA,EGPF,,,15:30,17:40,13:30,16:40,190,1067,1234567,7,2026-09-24T08:57:40.000Z
U28112,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,16:30,18:15,14:30,17:15,165,773,1234567,5,2026-09-24T08:57:40.000Z
U25553,EJU,Alicante,ALC,LEAL,Edinburgh,EDI,EGPH,,,16:45,19:00,14:45,18:00,195,1067,57,2,2026-09-20T20:00:37.000Z
U22346,EZY,Alicante,ALC,LEAL,London Luton,LTN,EGGW,,,16:55,18:35,14:55,17:35,160,816,1,1,2026-08-24T20:59:02.000Z
U22034,EZY,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,17:05,19:00,15:05,18:00,175,907,12457,4,2026-09-24T08:57:40.000Z
U24240,EJU,Alicante,ALC,LEAL,Naples,NAP,LIRN,,,17:05,19:20,15:05,17:20,135,704,15,2,2026-09-21T19:00:10.000Z
U28110,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,17:40,19:25,15:40,18:25,165,773,1234567,7,2026-09-23T19:59:18.000Z
U25517,EJU,Alicante,ALC,LEAL,Newcastle,NCL,EGNT,,,17:45,19:45,15:45,18:45,180,1007,26,2,2026-09-22T20:01:42.000Z
U28116,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,17:50,19:25,15:50,18:25,155,773,347,3,2026-09-24T08:57:40.000Z
U27886,EJU,Alicante,ALC,LEAL,Amsterdam,AMS,EHAM,,,18:15,21:00,16:15,19:00,165,871,246,3,2026-09-22T21:01:40.000Z
U25505,EJU,Alicante,ALC,LEAL,Belfast Intl,BFS,EGAA,,,18:25,20:35,16:25,19:35,190,1010,234567,6,2026-09-24T08:57:40.000Z
U25523,EJU,Alicante,ALC,LEAL,Lille,LIL,LFQQ,,,18:30,21:00,16:30,19:00,150,754,246,3,2026-09-22T20:59:12.000Z
U25521,EJU,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,18:35,20:25,16:35,19:25,170,907,37,2,2026-09-23T20:59:00.000Z
U25529,EJU,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,19:25,21:05,17:25,20:05,160,792,4,1,2026-09-24T08:57:40.000Z
U25561,EJU,Alicante,ALC,LEAL,Birmingham,BHX,EGBB,,,19:30,21:15,17:30,20:15,165,852,15,2,2026-09-21T22:01:17.000Z
U25533,EJU,Alicante,ALC,LEAL,Bristol,BRS,EGGD,,,19:30,21:05,17:30,20:05,155,792,1,1,2026-08-24T22:00:33.000Z
U25525,EJU,Alicante,ALC,LEAL,Lyon,LYS,LFLL,,,20:00,21:50,18:00,19:50,110,513,15,2,2026-09-21T21:01:03.000Z
U21300,EJU,Alicante,ALC,LEAL,Geneva,GVA,LSGG,,,20:30,22:30,18:30,20:30,120,562,16,2,2026-08-29T22:00:33.000Z
U21012,EJU,Alicante,ALC,LEAL,Basel,BSL,LFSB,,,20:50,23:05,18:50,21:05,135,662,1,1,2026-09-21T19:59:33.000Z
U22277,EZY,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,21:05,22:50,19:05,21:50,165,907,2,1,2026-09-23T00:58:56.000Z
U28140,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,21:45,23:30,19:45,22:30,165,773,7,1,2026-09-20T23:59:23.000Z
U23378,EZY,Alicante,ALC,LEAL,Liverpool,LPL,EGGP,,,21:55,23:45,19:55,22:45,170,909,23467,5,2026-09-24T00:59:24.000Z
U28118,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,22:25,00:05,20:25,23:05,160,773,12356,5,2026-09-24T00:59:25.000Z
U22016,EZY,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,23:05,00:55,21:05,23:55,170,907,146,3,2026-09-22T02:59:15.000Z
U22278,EZY,Alicante,ALC,LEAL,Manchester,MAN,EGCC,,,23:25,01:10,21:25,00:10,165,907,37,2,2026-09-24T01:59:59.000Z
U28120,EZY,Alicante,ALC,LEAL,London Gatwick,LGW,EGKK,,,23:35,01:10,21:35,00:10,155,773,13456,4,2026-09-24T01:59:59.000Z
U27821,EJU,Amsterdam,AMS,EHAM,Naples,NAP,LIRN,,,07:00,09:40,05:00,07:40,160,789,3467,3,2026-09-24T08:57:40.000Z
U27927,EJU,Amsterdam,AMS,EHAM,Prague,PRG,LKPR,,,07:00,08:30,05:00,06:30,90,381,156,2,2026-09-21T08:59:49.000Z
U27963,EJU,Amsterdam,AMS,EHAM,Faro,FAO,LPFR,,,07:00,09:10,05:00,08:10,190,1064,23467,4,2026-09-23T09:59:02.000Z
U27967,EJU,Amsterdam,AMS,EHAM,Faro,FAO,LPFR,,,07:00,09:10,05:00,08:10,190,1064,7,1,2026-09-20T10:01:02.000Z
